City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,Minna,NG,78.01,moderate rain,9.6139,6.5569,Royal Park hotel & suites
531,Fomboni,KM,81.59,broken clouds,-12.28,43.7425,Auberge les abou
533,San Andres,CO,87.82,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
536,Myitkyina,MM,72.12,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
537,San Cristobal,VE,82.58,clear sky,7.7669,-72.225,Pirineos
539,Bang Saphan,TH,75.15,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
541,Tibati,CM,71.46,moderate rain,6.4667,12.6333,Tibati Hotel
542,Mwense,ZM,72.01,overcast clouds,-10.3845,28.698,Mwense Council Guest House
543,Nicoya,CR,88.05,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
550,Lake Lucerne,US,89.02,broken clouds,25.9651,-80.2414,Stadium Hotel
551,Samarai,PG,80.47,scattered clouds,-10.6167,150.6667,Nuli Sapi
553,Hurghada,EG,82.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
556,Mayumba,GA,75.85,overcast clouds,-3.432,10.6554,LIKWALE LODGE
557,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
560,Touros,BR,79.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
562,Harper,LR,76.84,light rain,4.375,-7.7169,Screensaver
566,Arroyo,ES,70.14,few clouds,41.6096,-4.7969,Hotel El Jardín de la Abadía
569,Kirakira,SB,79.43,overcast clouds,-10.4544,161.9205,SanBiz Lodge
570,Mahibadhoo,MV,83.21,few clouds,3.7833,72.9667,Omadhoo Inn
572,Villa Carlos Paz,AR,75.4,clear sky,-31.4241,-64.4978,Monte Carlo vcp
578,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
580,Kieta,PG,77.79,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
584,Sinnamary,GF,80.83,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
585,Amahai,ID,77.83,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
587,Banjar,ID,76.35,overcast clouds,-8.19,114.9675,The Hamsa Resort
593,Kralendijk,BQ,87.78,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
599,Flores Costa Cuca,GT,80.33,broken clouds,14.65,-91.8167,Hotel y piscinas la floresta
601,Beyla,GN,71.53,light rain,8.6833,-8.6333,DIAN SINKO
606,Salcedo,PH,78.21,overcast clouds,12.8105,121.4674,Yamaji Freeman Farm
607,Tucupita,VE,82.89,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
610,Villamontes,BO,78.96,clear sky,-21.25,-63.5,Hotel Raldes
612,Lahaina,US,83.44,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
615,Kokopo,PG,76.06,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
616,Bull Savanna,JM,82.22,overcast clouds,17.8868,-77.5902,Big Red's
617,Piacabucu,BR,79.68,clear sky,-10.4056,-36.4344,Piaçabuçu News
618,Uvira,CD,74.73,light rain,-3.4067,29.1458,Hotel Suzana
619,Los Algarrobos,PA,86.41,scattered clouds,8.5,-82.4333,Waterfall Hostel
620,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
622,Vao,NC,74.88,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
624,Faya,SA,75.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
628,Tambura,SS,71.94,light rain,5.6,27.4667,Rikito Lodge
630,Bandar-E Lengeh,IR,86.11,clear sky,26.5579,54.8807,کافی نت پارس
631,Loubomo,CG,70.86,scattered clouds,-4.1997,12.6739,La Dolisienne
632,Manado,ID,74.17,scattered clouds,1.487,124.8455,Aryaduta Hotel
633,Isla Mujeres,MX,86.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
634,Lahat,ID,72.99,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
636,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
639,Felanitx,ES,77.52,few clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
641,Matthews,US,89.74,light rain,35.1168,-80.7237,"Holiday Inn Express & Suites Charlotte Southeast - Matthews, an IHG Hotel"
643,Satun,TH,78.8,overcast clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
647,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
649,Pemangkat,ID,79.43,overcast clouds,1.1667,108.9667,Ramah Kost KITA
651,Quimperle,FR,73.62,overcast clouds,47.8667,-3.55,ibis Quimperlé
652,Kavaratti,IN,83.64,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
654,Tezu,IN,70.79,clear sky,27.9167,96.1667,Circuit House
655,Daimiel,ES,78.78,few clouds,39.07,-3.615,Hotel Doña Manuela
657,Paracuru,BR,79.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
658,San Patricio,US,79.52,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
659,Inongo,CD,71.82,light rain,-1.95,18.2667,Hotel Du Lac
